Bot,Domain,Class,Feature Group,Relation,Description,Notes,Comment,Code,
characterAI,Social Companion,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
characterAI,Social Companion,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,o,
characterAI,Social Companion,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
characterAI,Social Companion,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
characterAI,Social Companion,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,o,
characterAI,Social Companion,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
characterAI,Social Companion,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
characterAI,Social Companion,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,o,
characterAI,Social Companion,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
characterAI,Social Companion,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
characterAI,Social Companion,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,o,
characterAI,Social Companion,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
characterAI,Social Companion,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
characterAI,Social Companion,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
characterAI,Social Companion,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,"User + bot, In bubbles, additional scene and character descriptions",x,
characterAI,Social Companion,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,user and bot (e.g. winter special),x,
characterAI,Social Companion,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,only user,x,
characterAI,Social Companion,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,"both in call mode, chat only character reading out text (default mode)",x,
characterAI,Social Companion,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"Regenerate Message, see Chat Message",x,
characterAI,Social Companion,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,vibration when bot types,x,
characterAI,Social Companion,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,Accessible via Avatar ,x,
characterAI,Social Companion,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,"only recent messages, not accessible for old messages after re-entering the chat",x,
characterAI,Social Companion,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,refresh chat option in persistent menu,x,
characterAI,Social Companion,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,author of character at the top of the chat + disclaimer ,x,
characterAI,Social Companion,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
characterAI,Social Companion,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,"create chat highlight, image or imagine winter holiday (seasonal offer) + Wallpaper, Persona, Imagine, Story Generation etc.",x,
ChatGPT,Open-Domain,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,user can select GIF but it cannot be uploaded,o,
ChatGPT,Open-Domain,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,o,
ChatGPT,Open-Domain,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
ChatGPT,Open-Domain,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,traits of LLM-based bots (always answer something),o,
ChatGPT,Open-Domain,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
ChatGPT,Open-Domain,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,o,
ChatGPT,Open-Domain,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,o,
ChatGPT,Open-Domain,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,"Bot and user, No Bubble-style for the answers, many annotations, structured + emojis, media inside answer (not seperate)",x,
ChatGPT,Open-Domain,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,from user,x,
ChatGPT,Open-Domain,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,x,
ChatGPT,Open-Domain,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,x,
ChatGPT,Open-Domain,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,Voice mode (user and bot) and Voice-to-Text (user),x,
ChatGPT,Open-Domain,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,"Hover for sources (bot), only in web version ",x,
ChatGPT,Open-Domain,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,user and bot,x,
ChatGPT,Open-Domain,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,Product Recommendation (bot),x,
ChatGPT,Open-Domain,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,search results,x,
ChatGPT,Open-Domain,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,copy and share see Image Chat Message,x,
ChatGPT,Open-Domain,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,"Typing or Thinking/Analyzing, depending on request, vibration when typing, Different kind of indicators for thinking, searching, processing.",x,
ChatGPT,Open-Domain,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,new: group chat function!,x,
ChatGPT,Open-Domain,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,"Copy, thumps up, thumbs down, voice, share, compute again, branch out chat, Interestingly, the user is able to report his/her/their own message, which is odd (noticed on 25th October 2025)",x,
ChatGPT,Open-Domain,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,"more general then chatmessage, different format",x,
ChatGPT,Open-Domain,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,x,
ChatGPT,Open-Domain,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,only for image generation in mobile version?,x,
ChatGPT,Open-Domain,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,"Info about limit + introducing features (pop up or whole page, e.g. Memory advert with option to enable), disclaimer not in mibile version?",x,
ChatGPT,Open-Domain,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,x,
ChatGPT,Open-Domain,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,x,
ChatGPT,Open-Domain,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,"canvas mode is offered in mobile version but buggy, no screenshot yet",x,
ChatGPT,Open-Domain,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,only in web version ,x,
Deepseek,Open-Domain,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Deepseek,Open-Domain,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,o,
Deepseek,Open-Domain,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Deepseek,Open-Domain,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Deepseek,Open-Domain,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,extra information and not a chat message to be shortened,o,
Deepseek,Open-Domain,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,o,
Deepseek,Open-Domain,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
Deepseek,Open-Domain,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,"available all the time, therefore not specific for help function",o,
Deepseek,Open-Domain,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,o,
Deepseek,Open-Domain,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
Deepseek,Open-Domain,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Deepseek,Open-Domain,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Deepseek,Open-Domain,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,"is not always visible, but at export chat there is a disclaimer",o,
Deepseek,Open-Domain,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,o,
Deepseek,Open-Domain,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Deepseek,Open-Domain,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Deepseek,Open-Domain,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,"user can send, bot cannot",x,
Deepseek,Open-Domain,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,x,
Deepseek,Open-Domain,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
Deepseek,Open-Domain,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
Deepseek,Open-Domain,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,message reaction,x,
Deepseek,Open-Domain,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,copy and regenerate see quick reply,x,
Deepseek,Open-Domain,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Deepseek,Open-Domain,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
Deepseek,Open-Domain,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,,x,
Deepseek,Open-Domain,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,,x,
Deepseek,Open-Domain,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,x,
Deepseek,Open-Domain,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,x,
Gemini,Open-Domain,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,bot cannot understand or react to it even though you can send any file,o,
Gemini,Open-Domain,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Gemini,Open-Domain,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
Gemini,Open-Domain,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,x,
Gemini,Open-Domain,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
Gemini,Open-Domain,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,"eventuell, if we define quick start as a type of help system",o,
Gemini,Open-Domain,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Gemini,Open-Domain,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Gemini,Open-Domain,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,o,
Gemini,Open-Domain,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,,x,
Gemini,Open-Domain,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,x,
Gemini,Open-Domain,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,"works with pro, also user can send",x,
Gemini,Open-Domain,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
Gemini,Open-Domain,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,x,
Gemini,Open-Domain,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
Gemini,Open-Domain,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,x,
Gemini,Open-Domain,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"copying or selecting text, see reaction Nina",x,
Gemini,Open-Domain,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Gemini,Open-Domain,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
Gemini,Open-Domain,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,,x,
Gemini,Open-Domain,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,"yes it is, because quick start button is a type of functionality introduction",x,
Gemini,Open-Domain,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,x,
Gemini,Open-Domain,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,,x,
Gemini,Open-Domain,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
Gemini,Open-Domain,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,x,
Gemini,Open-Domain,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,x,
Gemini,Open-Domain,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,only co-editing in web version,x,
Gemini,Open-Domain,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,only in web version ,x,
Paradot,Social Companion,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Paradot,Social Companion,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Paradot,Social Companion,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
Paradot,Social Companion,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
Paradot,Social Companion,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Paradot,Social Companion,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,o,
Paradot,Social Companion,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,only full dialogue,o,
Paradot,Social Companion,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,images/photos covered by image chat message ,o,
Paradot,Social Companion,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Paradot,Social Companion,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Paradot,Social Companion,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,,x,
Paradot,Social Companion,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,x,
Paradot,Social Companion,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,x,
Paradot,Social Companion,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,x,
Paradot,Social Companion,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
Paradot,Social Companion,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
Paradot,Social Companion,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,send selfie button,x,
Paradot,Social Companion,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"regenerate, see processing indicator johanna",x,
Paradot,Social Companion,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Paradot,Social Companion,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
Paradot,Social Companion,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,x,
Paradot,Social Companion,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,,x,
Paradot,Social Companion,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,x,
Paradot,Social Companion,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,conversation recovery,x,
Paradot,Social Companion,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,x,
Paradot,Social Companion,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,advert for better model,x,
Paradot,Social Companion,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
Paradot,Social Companion,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,x,
Replika,Social Companion,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Replika,Social Companion,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,image works but explicitly gifs does not,o,
Replika,Social Companion,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Replika,Social Companion,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Replika,Social Companion,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
Replika,Social Companion,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
Replika,Social Companion,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,o,
Replika,Social Companion,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,"too persistent, not interaction based",o,
Replika,Social Companion,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Replika,Social Companion,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,o,
Replika,Social Companion,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
Replika,Social Companion,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Replika,Social Companion,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Replika,Social Companion,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,o,
Replika,Social Companion,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
Replika,Social Companion,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Replika,Social Companion,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
